#{"t_start": 1701724770.9699063, "env_id": "multigrid-mapf-v0"}
r,l,t
351.33,1000,105.10955
413.55,1000,252.062591
374.23,1000,362.258013
312.37,1000,512.73641
205.62,1000,661.829123
265.75,1000,771.529547
333.0,1000,923.946086
362.91,1000,1075.099219
276.62,1000,1184.271516
211.17,1000,1334.375307
163.94,1000,1485.216048
157.31,1000,1595.894331
315.93,1000,1744.218587
110.75,1000,1854.543581
210.05,1000,2004.67826
210.22,1000,2155.308031
210.04,1000,2264.092381
209.92,1000,2417.048403
205.0,1000,2568.933172
66.31,1000,2678.498525
76.77,1000,2830.559892
66.12,1000,2976.195072
162.49,1000,3086.42676
169.73,1000,3236.342522
256.11,1000,3387.816196
141.29,1000,3499.568099
166.2,1000,3650.718764
188.48,1000,3759.558236
300.03,1000,3909.50833
124.27,1000,4059.639424
200.04,1000,4167.834038
153.94,1000,4312.219021
276.84,1000,4437.130626
200.05,1000,4530.686752
200.73,1000,4653.22304
316.86,1000,4774.749328
287.79,1000,4868.67752
156.78,1000,4992.72595
256.08,1000,5088.668075
153.08,1000,5216.348991
300.0,1000,5364.843609
253.92,1000,5472.837674
200.0,1000,5618.587204
100.73,1000,5765.767345
253.92,1000,5873.876937
300.03,1000,6001.280907
100.82,1000,6149.304268
264.34,1000,6259.237715
212.83,1000,6409.381774
269.79,1000,6560.339074
125.86,1000,6666.526612
129.01,1000,6814.799837
130.16,1000,6922.853184
100.71,1000,7071.028824
300.0,1000,7221.247231
200.7,1000,7328.42038
300.0,1000,7477.523815
134.41,1000,7624.878033
300.0,1000,7732.834601
139.93,1000,7882.906824
241.61,1000,8029.587531
200.0,1000,8137.06894
200.03,1000,8285.840865
300.0,1000,8388.371198
300.0,1000,8539.686958
100.22,1000,8687.551657
100.7,1000,8796.584125
200.02,1000,8945.858673
209.63,1000,9093.926765
200.7,1000,9203.296219
200.0,1000,9351.38717
300.0,1000,9499.724409
100.7,1000,9607.807738
200.0,1000,9757.12374
300.0,1000,9903.027018
200.0,1000,10012.599622
300.0,1000,10160.453951
100.7,1000,10270.447088
200.0,1000,10418.315282
300.0,1000,10567.157223
300.0,1000,10676.982695
200.0,1000,10827.671578
200.0,1000,10979.516986
120.2,1000,11086.866493
200.0,1000,11236.672474
200.0,1000,11382.772581
200.0,1000,11490.924496
200.0,1000,11639.086077
53.92,1000,11746.023876
100.7,1000,11894.851113
200.0,1000,12046.506288
0.7,1000,12155.246085
200.0,1000,12305.211221
200.0,1000,12453.55126
200.0,1000,12561.166835
200.0,1000,12713.508492
200.0,1000,12862.307773
100.7,1000,12969.78409
199.91,1000,13116.393912
200.0,1000,13264.969163
199.91,1000,13374.830969
200.0,1000,13526.72289
100.7,1000,13635.487669
100.0,1000,13782.186661
200.0,1000,13933.0927
200.0,1000,14040.006296
100.7,1000,14185.801737
200.0,1000,14333.224791
200.0,1000,14440.454347
200.0,1000,14590.473601
200.0,1000,14740.973578
100.0,1000,14851.370864
200.0,1000,14995.940767
100.0,1000,15104.08435
0.7,1000,15253.025167
200.0,1000,15403.73961
79.84,1000,15512.056128
100.0,1000,15660.778225
100.0,1000,15811.520513
200.0,1000,15919.121415
200.0,1000,16070.421911
200.0,1000,16220.537524
200.0,1000,16327.979547
200.0,1000,16476.380074
100.7,1000,16626.650227
100.0,1000,16737.16735
200.0,1000,16887.929497
200.0,1000,16991.880903
200.0,1000,17142.663542
200.0,1000,17292.319565
200.0,1000,17403.554188
200.0,1000,17552.920493
200.0,1000,17703.730726
200.0,1000,17812.973336
200.0,1000,17963.162572
100.0,1000,18115.934474
200.0,1000,18224.332568
200.0,1000,18372.53118
75.9,1000,18483.877078
200.0,1000,18634.357038
200.0,1000,18784.664617
0.7,1000,18893.342008
200.0,1000,19039.938194
200.0,1000,19190.717772
200.0,1000,19300.350363
100.0,1000,19450.916057
100.7,1000,19599.403031
100.0,1000,19707.642913
56.8,1000,19856.708084
54.64,1000,20001.034806
100.7,1000,20110.035943
200.0,1000,20256.279142
100.0,1000,20365.482714
200.0,1000,20514.511622
200.0,1000,20663.476339
0.7,1000,20773.0423
200.0,1000,20924.409259
100.7,1000,21072.420129
174.8,1000,21183.921724
108.14,1000,21332.638299
200.0,1000,21482.143428
200.0,1000,21590.184542
200.0,1000,21737.814486
200.0,1000,21847.721262
10.0,1000,21996.719621
89.92,1000,22147.231685
56.08,1000,22256.989146
110.06,1000,22406.979505
199.64,1000,22558.961037
145.6,1000,22665.609018
100.0,1000,22809.096395
62.01,1000,22961.773992
53.76,1000,23071.704599
110.0,1000,23221.934144
110.0,1000,23370.76371
110.0,1000,23479.759766
100.7,1000,23631.324298
56.08,1000,23743.188427
84.17,1000,23895.863861
182.0,1000,24042.601286
176.24,1000,24151.650051
124.0,1000,24302.937071
199.91,1000,24452.800853
10.2,1000,24562.269236
99.82,1000,24709.0724
100.7,1000,24858.292891
100.7,1000,24968.535614
0.0,1000,25118.860495
158.4,1000,25227.961339
48.8,1000,25374.390168
100.7,1000,25524.5502
0.0,1000,25627.432226
200.0,1000,25776.168212
46.64,1000,25925.477188
44.0,1000,26023.000314
10.0,1000,26148.333184
10.0,1000,26271.608201
95.2,1000,26367.11856
100.7,1000,26492.035448
199.64,1000,26624.137035
81.62,1000,26731.521013
5.12,1000,26883.897623
83.6,1000,26997.078138
10.0,1000,27155.470624
148.62,1000,27312.78019
125.57,1000,27426.398813
10.0,1000,27582.746559
10.0,1000,27739.874343
10.01,1000,27853.93106
10.01,1000,28012.278951
199.82,1000,28171.085269
199.82,1000,28283.929047
10.0,1000,28443.235399
10.0,1000,28597.41572
4.91,1000,28712.316563
155.9,1000,28869.133139
10.0,1000,28981.042526
10.0,1000,29136.124536
10.0,1000,29294.0276
10.11,1000,29407.266878
110.0,1000,29564.331645
110.0,1000,29720.496562
110.0,1000,29833.264339
109.91,1000,29985.539265
10.03,1000,30142.540823
10.0,1000,30257.42933
100.8,1000,30413.621147
10.03,1000,30527.822427
10.0,1000,30683.370862
110.0,1000,30840.079561
10.0,1000,30952.457027
10.0,1000,31106.249285
106.02,1000,31263.531156
110.0,1000,31375.428034
110.0,1000,31524.282046
58.0,1000,31681.212509
13.21,1000,31794.637481
10.0,1000,31949.634252
18.03,1000,32111.307999
10.03,1000,32222.4118
10.01,1000,32379.985797
110.0,1000,32493.511354
110.0,1000,32654.128695
10.0,1000,32812.992974
10.0,1000,32925.126957
10.03,1000,33081.80037
110.0,1000,33238.60491
110.0,1000,33352.590248
110.0,1000,33510.858652
10.0,1000,33666.508649
10.0,1000,33776.408539
110.0,1000,33931.151816
110.0,1000,34045.019261
110.0,1000,34202.088621
110.0,1000,34359.746254
110.0,1000,34468.025027
110.0,1000,34621.722775
110.0,1000,34777.913552
66.0,1000,34888.678586
30.2,1000,35048.227418
10.0,1000,35207.937301
10.0,1000,35319.327757
10.0,1000,35472.267914
10.0,1000,35627.824968
10.0,1000,35740.464251
10.0,1000,35900.332388
10.0,1000,36014.710107
10.0,1000,36169.743053
10.0,1000,36326.57414
10.0,1000,36439.256155
10.0,1000,36598.22016
10.0,1000,36754.705529
10.0,1000,36865.54987
10.0,1000,37018.584879
10.0,1000,37174.383442
10.0,1000,37286.246012
10.0,1000,37443.927301
10.0,1000,37551.922723
10.0,1000,37710.09746
10.0,1000,37860.678452
10.0,1000,37972.304454
10.0,1000,38129.905191
10.0,1000,38288.978599
10.0,1000,38401.744375
10.0,1000,38558.526953
10.0,1000,38714.70584
10.0,1000,38828.770536
10.0,1000,38983.836724
10.0,1000,39141.387037
10.0,1000,39255.097551
10.0,1000,39411.4268
10.0,1000,39525.533206
10.0,1000,39681.134282
10.0,1000,39840.252948
10.0,1000,39952.406127
10.0,1000,40109.403157
10.0,1000,40266.549235
10.0,1000,40380.604208
10.0,1000,40530.398373
10.0,1000,40688.190081
9.68,1000,40800.930578
4.88,1000,40953.91296
10.0,1000,41066.825038
10.0,1000,41225.254907
10.0,1000,41383.009082
10.0,1000,41495.574
10.0,1000,41650.52166
10.0,1000,41805.866301
10.0,1000,41917.471819
10.0,1000,42074.33509
10.0,1000,42229.651983
10.0,1000,42340.508985
