#{"t_start": 1700955886.5159402, "env_id": "multigrid-mapf-v0"}
r,l,t
0.0,1000,16.959022
0.2,1000,31.825551
0.4,1000,47.358767
1.4,1000,72.171852
1.2,1000,87.590938
0.2,1000,101.776918
1.6,1000,124.686809
3.4,1000,142.656234
20.2,1000,157.912676
84.0,1000,181.248672
172.2,1000,195.421094
195.4,1000,210.573853
197.0,1000,235.104097
263.8,1000,250.697388
364.0,1000,266.24368
371.4,1000,288.830496
389.0,1000,304.180882
387.6,1000,321.543878
399.2,1000,345.341545
418.4,1000,360.268314
433.6,1000,375.308182
420.4,1000,399.443924
432.8,1000,415.154362
399.8,1000,430.880576
207.6,1000,446.391094
205.4,1000,469.493179
218.0,1000,484.836018
40.2,1000,501.640521
233.0,1000,525.586417
235.6,1000,540.328852
415.0,1000,555.321566
419.2,1000,580.673381
294.6,1000,596.645214
287.6,1000,612.182901
470.6,1000,636.127491
371.2,1000,651.338193
468.0,1000,667.638429
433.0,1000,691.815687
73.4,1000,707.037542
538.2,1000,721.973582
1089.8,1000,746.956444
312.4,1000,763.297936
102.6,1000,778.163048
302.8,1000,801.707903
148.8,1000,816.436939
196.4,1000,831.826102
258.8,1000,856.969482
135.2,1000,872.830053
140.2,1000,887.856798
102.6,1000,902.68294
36.8,1000,928.786292
29.0,1000,944.735533
289.4,1000,959.780063
247.2,1000,982.601462
180.2,1000,998.163469
97.2,1000,1014.962031
250.2,1000,1039.75654
207.8,1000,1055.453412
193.4,1000,1069.944509
334.6,1000,1094.151747
208.6,1000,1111.014394
122.8,1000,1126.787293
194.2,1000,1150.064582
212.4,1000,1164.718101
37.6,1000,1181.415767
164.8,1000,1206.19345
276.0,1000,1221.253238
391.2,1000,1236.374501
154.2,1000,1259.775446
316.6,1000,1275.578367
531.4,1000,1291.838576
240.0,1000,1314.807838
378.2,1000,1329.571283
386.2,1000,1345.22998
470.2,1000,1361.539894
398.4,1000,1385.153064
516.6,1000,1400.095734
546.6,1000,1415.313033
421.0,1000,1439.414308
547.6,1000,1454.591842
395.6,1000,1470.827471
454.6,1000,1493.833344
596.2,1000,1508.668804
581.8,1000,1524.584669
598.6,1000,1549.819406
533.4,1000,1564.656111
464.6,1000,1579.619592
582.8,1000,1603.151852
579.2,1000,1619.532208
598.6,1000,1634.826587
509.6,1000,1657.836834
576.4,1000,1672.768248
599.0,1000,1687.614157
509.6,1000,1713.839109
593.4,1000,1729.196347
598.2,1000,1743.572316
597.4,1000,1766.87114
595.8,1000,1782.867672
593.2,1000,1799.069925
598.6,1000,1814.80831
591.4,1000,1838.858392
599.2,1000,1853.188193
600.0,1000,1868.467831
599.6,1000,1893.763686
594.8,1000,1909.681646
599.0,1000,1924.342452
600.0,1000,1946.819966
600.2,1000,1963.513257
598.6,1000,1978.897508
600.2,1000,2003.148024
600.8,1000,2018.947926
600.8,1000,2033.094061
973.8,1000,2058.047065
593.4,1000,2074.986326
675.4,1000,2089.753558
642.6,1000,2114.008275
600.0,1000,2130.483629
596.4,1000,2146.886677
626.8,1000,2170.527191
584.8,1000,2185.478499
605.0,1000,2200.663597
599.6,1000,2224.89236
599.8,1000,2240.101406
600.4,1000,2256.096111
599.6,1000,2271.287385
